"","RG","RPL","dist_to_PG","dist_to_PL","title","Number_Of_Trophic_Links","Number_Of_Nodes","Fraction_Basal_Nodes","Fraction_Intermediate_Nodes","Fraction_Top_Level_Nodes","Fraction_Isolated_Nodes","Fraction_Non_Basal_Nodes","Fraction_Connected_Nodes","Fraction_Non_Top_Level_Nodes","Mean_Maximum_Trophic_Similarity","N_number_of_compartments","T_total_System_Throughput","TST_total_System_Throughflow","Lint_number_of_Internal_links","Ltot_total_number_of_links","LD_link_Density","C_connectance","Tijbar_average_Link_Weight","TSTbar_average_Compartment_Throughflow","Cbar_compartmentalization"
"p036",0.911616504993528,0.453686891293945,1.06278062878502,0.462215791077633,"p036",25,11,0.545454545454545,0.363636363636364,0.0909090909090909,0,0.454545454545455,1,0.909090909090909,0.711432506887052,11,25,45,25,25,2.27272727272727,0.227272727272727,1,4.09090909090909,0.402263544536272
"p040",0.577085140092714,0.586654796578851,0.709846121428509,0.723201790013944,"p040",21,9,0.333333333333333,0.555555555555556,0.111111111111111,0,0.666666666666667,1,0.888888888888889,0.683950617283951,9,21,37,21,21,2.33333333333333,0.291666666666667,1,4.11111111111111,0.373478835978836
"p043",0.256812252685373,0.23660761379373,0.805431852143332,0.77994306886064,"p043",43,13,0.384615384615385,0.615384615384615,0,0,0.615384615384615,1,1,0.728712313327698,13,43,73,43,43,3.30769230769231,0.275641025641026,1,5.61538461538461,0.398689522727984
"p046",1,1,1,1,"p046",6,7,0.857142857142857,0,0.142857142857143,0,0.142857142857143,1,0.857142857142857,0.857142857142857,7,6,12,6,6,0.857142857142857,0.142857142857143,1,1.71428571428571,0.714285714285714
"p048",0.662631070171069,0.151523813574504,1.07656480254893,0.369834099149983,"p048",25,11,0.636363636363636,0.272727272727273,0.0909090909090909,0,0.363636363636364,1,0.909090909090909,0.801928374655647,11,25,46,25,25,2.27272727272727,0.227272727272727,1,4.18181818181818,0.464889807162534
"p059",0.506816483219418,0.140524363211702,0.997778190729557,0.512812907286972,"p059",28,11,0.454545454545455,0.545454545454545,0,0,0.545454545454545,1,1,0.818024399842582,11,28,48,28,28,2.54545454545455,0.254545454545455,1,4.36363636363636,0.417217630853994
"p064",0.824177684331486,0.999631582130731,0.82417776667521,1.01497624931829,"p064",12,7,0.571428571428571,0.285714285714286,0.142857142857143,0,0.428571428571429,1,0.857142857142857,0.710884353741497,7,12,21,12,12,1.71428571428571,0.285714285714286,1,3,0.396825396825397
"p065",0.983582131807926,0.99706313756392,0.98358651636386,0.997198298576958,"p065",23,8,0.5,0.5,0,0,0.5,1,1,0.875,8,23,39,23,23,2.875,0.410714285714286,1,4.875,0.589285714285714
"p070",0.956352829767953,0.978619562186482,0.956591792838653,0.979592426963034,"p070",10,8,0.625,0.25,0.125,0,0.375,1,0.875,0.739583333333333,8,10,18,10,10,1.25,0.178571428571429,1,2.25,0.39702380952381
"p074",0.970574636818266,0.983860734023716,0.970708813981393,0.984300663391051,"p074",44,12,0.5,0.5,0,0,0.5,1,1,0.869444444444444,12,44,77,44,44,3.66666666666667,0.333333333333333,1,6.41666666666667,0.537393414666142
"p075",0.51038456693794,-0.80025640429379,1.87120697074622,0.938154350256808,"p075",34,11,0.454545454545455,0.545454545454545,0,0,0.545454545454545,1,1,0.759917355371901,11,34,58,34,34,3.09090909090909,0.309090909090909,1,5.27272727272727,0.452622983077528
"p079",0.999999996681368,0.864421893030214,1.00914885742999,0.864421893030214,"p079",5,5,0.6,0.2,0.2,0,0.4,1,0.8,0.64,5,5,9,5,5,1,0.25,1,1.8,0.373333333333333
"p081",0.911100231056456,0.317044814522908,1.13865333460241,0.32927280989186,"p081",11,6,0.333333333333333,0.5,0.166666666666667,0,0.666666666666667,1,0.833333333333333,0.616666666666667,6,11,18,11,11,1.83333333333333,0.366666666666667,1,3,0.417777777777778
"p085",1,1,1,1,"p085",4,8,0.5,0,0.125,0.375,0.5,0.625,0.875,0.5,5,4,8,4,4,0.8,0.2,1,1.6,0.6
"p090",0.977082342427865,0.34194104279645,1.17802015901263,0.342708178742961,"p090",19,8,0.375,0.5,0.125,0,0.625,1,0.875,0.729166666666667,8,19,32,19,19,2.375,0.339285714285714,1,4,0.422959183673469
"p094",0.745354249815826,0.748737048553549,0.786565972114288,0.790854996800008,"p094",32,11,0.636363636363636,0.363636363636364,0,0,0.363636363636364,1,1,0.909090909090909,11,32,57,32,32,2.90909090909091,0.290909090909091,1,5.18181818181818,0.541558441558442
"p096",0.999999999945843,0.999589336604482,1.00000008426805,0.999589336604482,"p096",9,5,0.4,0.6,0,0,0.6,1,1,0.64,5,9,15,9,9,1.8,0.45,1,3,0.443333333333333
"p099",0.840594396080401,0.475027841193541,0.99105736778639,0.501060471869382,"p099",16,10,0.6,0.3,0.1,0,0.4,1,0.9,0.626666666666667,10,16,28,16,16,1.6,0.177777777777778,1,2.8,0.318518518518518
"p100",0.999999998714216,0.969023233880936,1.00047966369518,0.969023233880936,"p100",20,10,0.6,0.4,0,0,0.4,1,1,0.826666666666667,10,20,36,20,20,2,0.222222222222222,1,3.6,0.508148148148148
"p103",0.720683097457,0.881283186115749,0.730395652272823,0.924487958913767,"p103",39,12,0.5,0.5,0,0,0.5,1,1,0.818518518518519,12,39,68,39,39,3.25,0.295454545454545,1,5.66666666666667,0.458465061874153
"p104",0.884966097540182,0.511484646262053,1.01084729046143,0.524260757712183,"p104",34,11,0.454545454545455,0.454545454545455,0.0909090909090909,0,0.545454545454545,1,0.909090909090909,0.789669421487603,11,34,60,34,34,3.09090909090909,0.309090909090909,1,5.45454545454545,0.445925488652761
"p108",0.618470717900329,0.611416029380202,0.730413260505856,0.720690054102693,"p108",32,13,0.461538461538462,0.461538461538462,0.0769230769230769,0,0.538461538461538,1,0.923076923076923,0.767727998497229,13,32,58,32,32,2.46153846153846,0.205128205128205,1,4.46153846153846,0.357764600072292
"p111",0.990144279026672,0.340088520069459,1.18990287613459,0.340231298852617,"p111",16,10,0.8,0.1,0.1,0,0.2,1,0.9,0.89,10,16,31,16,16,1.6,0.177777777777778,1,3.1,0.595617283950617
"p114",0.984392681859058,0.977478904042211,0.984650268806548,0.977603496427419,"p114",14,11,0.636363636363636,0.181818181818182,0.181818181818182,0,0.363636363636364,1,0.818181818181818,0.696969696969697,11,14,26,14,14,1.27272727272727,0.127272727272727,1,2.36363636363636,0.3566391184573
"p116",0.557037240098487,0.19398421769335,0.979771365260254,0.483576140203036,"p116",34,12,0.5,0.416666666666667,0.0833333333333333,0,0.5,1,0.916666666666667,0.805555555555556,12,34,61,34,34,2.83333333333333,0.257575757575758,1,5.08333333333333,0.44775678866588
"p118",0.684208674063602,0.41474619505323,0.900368550021903,0.521285495527931,"p118",33,12,0.416666666666667,0.5,0.0833333333333333,0,0.583333333333333,1,0.916666666666667,0.646626984126984,12,33,57,33,33,2.75,0.25,1,4.75,0.361068476977568
"p126",0.525916058934584,0.558504007646054,0.686663245200936,0.732586042545734,"p126",32,10,0.3,0.7,0,0,0.7,1,1,0.691071428571429,10,32,52,32,32,3.2,0.355555555555556,1,5.2,0.479135802469136
"p127",0.148609256128109,0.264407353706269,0.750454030762954,0.891502914995057,"p127",62,16,0.4375,0.5625,0,0,0.5625,1,1,0.758370535714286,16,62,106,62,62,3.875,0.258333333333333,1,6.625,0.411376308876309
"p128",1,1,1,1,"p128",3,4,0.75,0,0.25,0,0.25,1,0.75,0.75,4,3,6,3,3,0.75,0.25,1,1.5,0.5
"p130",0.776589601536243,0.646394417261058,0.8533043521267,0.683913699824765,"p130",17,11,0.727272727272727,0.0909090909090909,0.181818181818182,0,0.272727272727273,1,0.818181818181818,0.863636363636364,11,17,33,17,17,1.54545454545455,0.154545454545455,1,3,0.363032270759544
"p131",1,1,1,1,"p131",3,4,0.75,0,0.25,0,0.25,1,0.75,0.75,4,3,6,3,3,0.75,0.25,1,1.5,0.5
"p134",1,1,1,1,"p134",16,9,0.777777777777778,0.222222222222222,0,0,0.222222222222222,1,1,0.950617283950617,9,16,30,16,16,1.77777777777778,0.222222222222222,1,3.33333333333333,0.648148148148148
"p135",0.824177684331486,0.999631582130731,0.82417776667521,1.01497624931829,"p135",12,7,0.428571428571429,0.428571428571429,0.142857142857143,0,0.571428571428571,1,0.857142857142857,0.710884353741497,7,12,21,12,12,1.71428571428571,0.285714285714286,1,3,0.396825396825397
"p136",0.710287411134087,0.666638757358662,0.784625977463748,0.726870426527376,"p136",11,9,0.555555555555556,0.222222222222222,0.111111111111111,0.111111111111111,0.444444444444444,0.888888888888889,0.888888888888889,0.638888888888889,8,11,20,11,11,1.375,0.196428571428571,1,2.5,0.331037414965986
"p137",0.905255954272876,0.208485686399463,1.20249043712664,0.229003745895561,"p137",8,6,0.666666666666667,0.166666666666667,0.166666666666667,0,0.333333333333333,1,0.833333333333333,0.75,6,8,15,8,8,1.33333333333333,0.266666666666667,1,2.5,0.423333333333333
"p138",0.990560904299407,0.596686645062781,1.06951978354642,0.596761299787379,"p138",24,11,0.727272727272727,0.181818181818182,0.0909090909090909,0,0.272727272727273,1,0.909090909090909,0.934802571166208,11,24,46,24,24,2.18181818181818,0.218181818181818,1,4.18181818181818,0.527006427915519
"p140",0.399663133599494,0.169524179117723,0.921640227761711,0.623813113412276,"p140",52,15,0.533333333333333,0.4,0.0666666666666667,0,0.466666666666667,1,0.933333333333333,0.786835386835387,15,52,94,52,52,3.46666666666667,0.247619047619048,1,6.26666666666667,0.427491053919625
"p142",1,1,1,1,"p142",15,9,0.777777777777778,0.111111111111111,0.111111111111111,0,0.222222222222222,1,0.888888888888889,0.950617283950617,9,15,29,15,15,1.66666666666667,0.208333333333333,1,3.22222222222222,0.648148148148148
"p145",0.999999999916607,0.149138706340461,1.31299845425697,0.149138706340461,"p145",4,4,0.5,0.25,0.25,0,0.5,1,0.75,0.4375,4,4,7,4,4,1,0.333333333333333,1,1.75,0.305555555555556
"p146",0.180139136047385,0.231808519606005,0.789029948028474,0.852001775821539,"p146",70,17,0.529411764705882,0.470588235294118,0,0,0.470588235294118,1,1,0.810848926160345,17,70,123,70,70,4.11764705882353,0.257352941176471,1,7.23529411764706,0.443092344146626
"p147",0.963396666293228,0.981946641298652,0.9635658049066,0.982628622825609,"p147",22,10,0.6,0.3,0.1,0,0.4,1,0.9,0.816666666666667,10,22,40,22,22,2.2,0.244444444444444,1,4,0.442142857142857
"p148",1,1,1,1,"p148",2,3,0.666666666666667,0,0.333333333333333,0,0.333333333333333,1,0.666666666666667,0.666666666666667,3,2,4,2,2,0.666666666666667,0.333333333333333,1,1.33333333333333,0.333333333333333
"p150",0.984900200215009,0.99999999927707,0.984900200215009,1.00011399475644,"p150",6,9,0.444444444444444,0.111111111111111,0.111111111111111,0.333333333333333,0.555555555555556,0.666666666666667,0.888888888888889,0.462962962962963,6,6,11,6,6,1,0.2,1,1.83333333333333,0.444444444444444
"p151",0.0886236300601217,0.158802337079669,0.845853211797213,0.92510813959599,"p151",39,13,0.461538461538462,0.538461538461538,0,0,0.538461538461538,1,1,0.847271531886917,13,39,69,39,39,3,0.25,1,5.30769230769231,0.433491330606715
