"","title","Number_Of_Trophic_Links","Number_Of_Nodes","Fraction_Basal_Nodes","Fraction_Intermediate_Nodes","Fraction_Top_Level_Nodes","Fraction_Isolated_Nodes","Fraction_Non_Basal_Nodes","Fraction_Connected_Nodes","Fraction_Non_Top_Level_Nodes","Mean_Maximum_Trophic_Similarity"
"p096","p096",9,5,0.4,0.6,0,0,0.6,1,1,0.64
"p099","p099",16,10,0.6,0.3,0.1,0,0.4,1,0.9,0.626666666666667
"p100","p100",20,10,0.6,0.4,0,0,0.4,1,1,0.826666666666667
"p103","p103",39,12,0.5,0.5,0,0,0.5,1,1,0.818518518518519
"p104","p104",34,11,0.454545454545455,0.454545454545455,0.0909090909090909,0,0.545454545454545,1,0.909090909090909,0.789669421487603
"p108","p108",32,13,0.461538461538462,0.461538461538462,0.0769230769230769,0,0.538461538461538,1,0.923076923076923,0.767727998497229
"p111","p111",16,10,0.8,0.1,0.1,0,0.2,1,0.9,0.89
"p114","p114",14,11,0.636363636363636,0.181818181818182,0.181818181818182,0,0.363636363636364,1,0.818181818181818,0.696969696969697
"p116","p116",34,12,0.5,0.416666666666667,0.0833333333333333,0,0.5,1,0.916666666666667,0.805555555555556
"p118","p118",33,12,0.416666666666667,0.5,0.0833333333333333,0,0.583333333333333,1,0.916666666666667,0.646626984126984
"p126","p126",32,10,0.3,0.7,0,0,0.7,1,1,0.691071428571429
"p127","p127",62,16,0.4375,0.5625,0,0,0.5625,1,1,0.758370535714286
"p128","p128",3,4,0.75,0,0.25,0,0.25,1,0.75,0.75
"p130","p130",17,11,0.727272727272727,0.0909090909090909,0.181818181818182,0,0.272727272727273,1,0.818181818181818,0.863636363636364
"p131","p131",3,4,0.75,0,0.25,0,0.25,1,0.75,0.75
"p134","p134",16,9,0.777777777777778,0.222222222222222,0,0,0.222222222222222,1,1,0.950617283950617
"p135","p135",12,7,0.428571428571429,0.428571428571429,0.142857142857143,0,0.571428571428571,1,0.857142857142857,0.710884353741497
"p136","p136",11,9,0.555555555555556,0.222222222222222,0.111111111111111,0.111111111111111,0.444444444444444,0.888888888888889,0.888888888888889,0.638888888888889
"p137","p137",8,6,0.666666666666667,0.166666666666667,0.166666666666667,0,0.333333333333333,1,0.833333333333333,0.75
"p138","p138",24,11,0.727272727272727,0.181818181818182,0.0909090909090909,0,0.272727272727273,1,0.909090909090909,0.934802571166208
"p140","p140",52,15,0.533333333333333,0.4,0.0666666666666667,0,0.466666666666667,1,0.933333333333333,0.786835386835387
"p142","p142",15,9,0.777777777777778,0.111111111111111,0.111111111111111,0,0.222222222222222,1,0.888888888888889,0.950617283950617
"p145","p145",4,4,0.5,0.25,0.25,0,0.5,1,0.75,0.4375
"p146","p146",70,17,0.529411764705882,0.470588235294118,0,0,0.470588235294118,1,1,0.810848926160345
"p147","p147",22,10,0.6,0.3,0.1,0,0.4,1,0.9,0.816666666666667
"p148","p148",2,3,0.666666666666667,0,0.333333333333333,0,0.333333333333333,1,0.666666666666667,0.666666666666667
"p150","p150",6,9,0.444444444444444,0.111111111111111,0.111111111111111,0.333333333333333,0.555555555555556,0.666666666666667,0.888888888888889,0.462962962962963
"p151","p151",39,13,0.461538461538462,0.538461538461538,0,0,0.538461538461538,1,1,0.847271531886917
